Year AD,Year BS,Commodity,Production In 1000 dollars,Production – MT
1990,2047,"Milk, whole fresh goat",16978,50592.0
1990,2047,Millet,41309,231630.0
1990,2047,Mustard seed,39570,98060.0
1990,2047,Oilseeds nes,30548,98060.0
1990,2047,Potatoes,99321,671810.0
1990,2047,"Pulses, nes",24474,46490.0
1990,2047,"Rice, paddy",934600,3502160.0
1990,2047,"Roots and tubers, nes",24455,143000.0
1990,2047,Sugar cane,30286,988300.0
1990,2047,"Vegetables, fresh nes",187227,993560.0
1990,2047,Wheat,123643,854960.0
1989,2046,"Fruit, fresh nes",141010,404000.0
1989,2046,Ginger,16931,25000.0
1989,2046,Lentils,28400,74360.0
1989,2046,Maize,133974,1200990.0
1989,2046,"Meat indigenous, buffalo",238477,88596.0
1989,2046,"Meat indigenous, cattle",108838,40290.0
1989,2046,"Meat indigenous, goat",69361,28948.0
1989,2046,"Milk, whole fresh buffalo",235339,590012.0
1989,2046,"Milk, whole fresh cow",76105,243879.0
1989,2046,"Milk, whole fresh goat",16947,50500.0
1989,2046,Millet,40065,224780.0
1989,2046,Mustard seed,40054,99190.0
1989,2046,Oilseeds nes,30900,99190.0
1989,2046,Potatoes,94406,640910.0
1989,2046,"Pulses, nes",28090,52970.0
1989,2046,"Rice, paddy",902643,3389670.0
1989,2046,"Roots and tubers, nes",24455,143000.0
1989,2046,Sugar cane,27583,903010.0
1989,2046,"Vegetables, fresh nes",173743,922000.0
1989,2046,Wheat,119665,830050.0
1988,2045,"Fruit, fresh nes",138916,398000.0
1988,2045,Ginger,13545,20000.0
1988,2045,Lentils,24401,63140.0
1988,2045,Maize,119318,1071610.0
1988,2045,"Meat indigenous, buffalo",234949,87285.0
1988,2045,"Meat indigenous, cattle",109642,40588.0
1988,2045,"Meat indigenous, goat",67025,27973.0
1988,2045,"Milk, whole fresh buffalo",229695,575862.0
1988,2045,"Milk, whole fresh cow",72466,232219.0
1988,2045,"Milk, whole fresh goat",16779,50000.0
1988,2045,Millet,32519,183090.0
1988,2045,Mustard seed,38073,94370.0
1988,2045,Oilseeds nes,29398,94370.0
1988,2045,Potatoes,82158,566950.0
1988,2045,"Pulses, nes",27003,51540.0
1988,2045,"Rice, paddy",874378,3283210.0
1988,2045,"Roots and tubers, nes",24455,143000.0
1988,2045,Sugar cane,24772,814400.0
1988,2045,"Vegetables, fresh nes",164886,875000.0
1988,2045,Wheat,107125,744600.0
1987,2044,"Chillies and peppers, dry",12050,11000.0
1987,2044,"Fruit, fresh nes",136221,390280.0
1987,2044,Lentils,28505,73190.0
1987,2044,Maize,99979,901500.0
1987,2044,"Meat indigenous, buffalo",229283,85180.0
1987,2044,"Meat indigenous, cattle",108563,40188.0
1987,2044,"Meat indigenous, goat",62243,25977.0
1987,2044,"Milk, whole fresh buffalo",218186,547009.0
1987,2044,"Milk, whole fresh cow",68831,220568.0
1987,2044,"Milk, whole fresh goat",16779,50000.0
1987,2044,Millet,26578,150130.0
1987,2044,Mustard seed,33220,82500.0
1987,2044,Oilseeds nes,25700,82500.0
1987,2044,Potatoes,54145,395110.0
1987,2044,"Pulses, nes",17338,34300.0
1987,2044,"Rice, paddy",791236,2981780.0
1987,2044,"Roots and tubers, nes",24455,143000.0
1987,2044,Sugar cane,18276,616580.0
1987,2044,"Vegetables, fresh nes",164950,875340.0
1987,2044,Wheat,101387,701040.0
1986,2043,"Fruit, fresh nes",127048,364000.0
1986,2043,Jute,17304,61100.0
1986,2043,Lentils,23677,61200.0
1986,2043,Maize,96630,868350.0
1986,2043,"Meat indigenous, buffalo",226108,84001.0
1986,2043,"Meat indigenous, cattle",107231,39695.0
1986,2043,"Meat indigenous, goat",63474,26491.0
1986,2043,"Milk, whole fresh buffalo",213422,535064.0
1986,2043,"Milk, whole fresh cow",68589,219792.0
1986,2043,"Milk, whole fresh goat",16779,50000.0
1986,2043,Millet,24367,137590.0
1986,2043,Mustard seed,31522,78390.0
1986,2043,Oilseeds nes,24420,78390.0
1986,2043,Potatoes,48400,356720.0
1986,2043,"Pulses, nes",17659,33700.0
1986,2043,"Rice, paddy",624752,2372020.0
1986,2043,"Roots and tubers, nes",24968,146000.0
1986,2043,Sugar cane,16692,558340.0
1986,2043,"Vegetables, fresh nes",145853,774000.0
1986,2043,Wheat,86062,598000.0
1985,2042,"Chillies and peppers, dry",12050,11000.0
1985,2042,"Fruit, fresh nes",119719,343000.0
1985,2042,Lentils,22583,58400.0
1985,2042,Maize,97270,873750.0
1985,2042,"Meat indigenous, buffalo",220811,82033.0
1985,2042,"Meat indigenous, cattle",104774,38786.0
1985,2042,"Meat indigenous, goat",60201,25125.0
1985,2042,"Milk, whole fresh buffalo",209800,525985.0
1985,2042,"Milk, whole fresh cow",68401,219192.0
1985,2042,"Milk, whole fresh goat",16443,49000.0
1985,2042,Millet,24482,137940.0
1985,2042,Mustard seed,33827,84030.0
1985,2042,Oilseeds nes,26177,84030.0
1985,2042,Potatoes,59845,420160.0
1985,2042,"Pulses, nes",15756,30300.0
1985,2042,"Rice, paddy",743626,2804490.0
1985,2042,"Roots and tubers, nes",23942,140000.0
1985,2042,Sugar cane,11830,408260.0
1985,2042,"Vegetables, fresh nes",139823,742000.0
1985,2042,Wheat,76425,533720.0
1984,2041,Chick peas,13796,30000.0
1984,2041,"Eggs, hen, in shell",14100,17000.0
1984,2041,"Fruit, fresh nes",117275,336000.0
1984,2041,Lentils,20436,53000.0
1984,2041,Maize,91276,819850.0
1984,2041,"Meat indigenous, buffalo",216405,80396.0
1984,2041,"Meat indigenous, cattle",107002,39610.0
1984,2041,"Meat indigenous, goat",58243,24307.0
1984,2041,"Milk, whole fresh buffalo",209806,526000.0
1984,2041,"Milk, whole fresh cow",65533,210000.0
1984,2041,"Milk, whole fresh goat",16276,48500.0
1984,2041,Millet,22029,124430.0
1984,2041,Mustard seed,29454,73350.0
1984,2041,Potatoes,54699,383080.0
1984,2041,"Pulses, nes",21259,40000.0
1984,2041,"Rice, paddy",717675,2709430.0
1984,2041,"Roots and tubers, nes",24455,143000.0
1984,2041,Sugar cane,15534,509070.0
1984,2041,"Vegetables, fresh nes",131909,700000.0
1984,2041,Wheat,91539,633700.0
1983,2040,Chick peas,14764,33000.0
1983,2040,"Eggs, hen, in shell",13353,16100.0
1983,2040,"Fruit, fresh nes",110993,318000.0
1983,2040,Lentils,22011,57500.0
1983,2040,Maize,84792,761110.0
1983,2040,"Meat indigenous, buffalo",205135,76209.0
1983,2040,"Meat indigenous, cattle",108838,40290.0
1983,2040,"Meat indigenous, goat",58546,24434.0
1983,2040,"Milk, whole fresh buffalo",224166,562000.0
1983,2040,"Milk, whole fresh cow",63973,205000.0
1983,2040,"Milk, whole fresh goat",16108,48000.0
1983,2040,Millet,20363,114910.0
1983,2040,Mustard seed,28088,69590.0
1983,2040,Potatoes,52992,372970.0
1983,2040,"Pulses, nes",20343,39000.0
1983,2040,"Rice, paddy",729884,2756980.0
1983,2040,"Roots and tubers, nes",13510,79000.0
